date,variant,symbol,name,bucket,industry,in_effective_universe,market_regime,raw_signal_generated,raw_signal_type,strategy_intent,intended_action_enum,final_action_enum,user_visible_action,account_actionable,portfolio_actionable,executable,watch_only,blocked,pending,skipped,stage_failed,primary_failure_reason,all_failure_reasons_json,raw_buy_rank,compact_rank,expected_edge_score,score_components_json,lot_notional,target_position_budget,lot_fit_status,structural_lot_block,current_shares,current_weight,current_position_tranches,target_weight,target_shares,delta_shares,estimated_turnover,available_cash_before,cash_reserve_required,max_positions,positions_count,industry_positions_count,industry_max_positions,replacement_candidate,replacement_required,replacement_triggered,daily_new_position_limit_used,daily_add_limit_used,risk_on_cash_deploy_candidate,trace_quality_flag
2023-04-03,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,000333.sz,美的集团,defensive_dividend,家用电器,True,risk_on,False,,EMPTY,EMPTY,EMPTY,False,False,False,False,False,False,False,True,NO_RAW_SIGNAL,,[],,,,{},4529.0,,,False,0.0,0.0,0,0.17,0,0,0.0,50000.0,5000.0,5,0,0,2,False,False,False,1,0,False,FULLY_SUPPORTED
2023-04-03,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,000651.sz,格力电器,defensive_dividend,家用电器,True,risk_on,False,,EMPTY,EMPTY,EMPTY,False,False,False,False,False,False,False,True,NO_RAW_SIGNAL,,[],,,,{},2994.0,,,False,0.0,0.0,0,0.17,0,0,0.0,50000.0,5000.0,5,0,0,2,False,False,False,1,0,False,FULLY_SUPPORTED
2023-04-03,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,000708.sz,中信特钢,cyclical_rotation,钢铁,True,risk_on,False,,BLOCKED,BLOCKED,BLOCKED,False,False,False,False,False,False,False,True,NO_RAW_SIGNAL,,[],,,,{},1580.0,,,False,0.0,0.0,0,0.17,0,0,0.0,50000.0,5000.0,5,0,0,2,False,False,False,1,0,False,FULLY_SUPPORTED
2023-04-03,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,000786.sz,北新建材,cyclical_rotation,建筑材料,True,risk_on,False,,EMPTY,EMPTY,EMPTY,False,False,False,False,False,False,False,True,NO_RAW_SIGNAL,,[],,,,{},2515.0,,,False,0.0,0.0,0,0.17,0,0,0.0,50000.0,5000.0,5,0,0,2,False,False,False,1,0,False,FULLY_SUPPORTED
2023-04-03,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,000877.sz,天山股份,cyclical_rotation,建筑材料,True,risk_on,False,,BLOCKED,BLOCKED,BLOCKED,False,False,False,False,False,False,False,True,NO_RAW_SIGNAL,,[],,,,{},849.0,,,False,0.0,0.0,0,0.17,0,0,0.0,50000.0,5000.0,5,0,0,2,False,False,False,1,0,False,FULLY_SUPPORTED
2023-04-03,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,000932.sz,华菱钢铁,cyclical_rotation,钢铁,True,risk_on,False,,EMPTY,EMPTY,EMPTY,False,False,False,False,False,False,False,True,NO_RAW_SIGNAL,,[],,,,{},494.00000000000006,,,False,0.0,0.0,0,0.17,0,0,0.0,50000.0,5000.0,5,0,0,2,False,False,False,1,0,False,FULLY_SUPPORTED
2023-04-03,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,002032.sz,苏 泊 尔,defensive_dividend,家用电器,True,risk_on,False,,EMPTY,EMPTY,EMPTY,False,False,False,False,False,False,False,True,NO_RAW_SIGNAL,,[],,,,{},4507.0,,,False,0.0,0.0,0,0.17,0,0,0.0,50000.0,5000.0,5,0,0,2,False,False,False,1,0,False,FULLY_SUPPORTED
2023-04-03,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,002064.sz,华峰化学,cyclical_rotation,基础化工,True,risk_on,False,,EMPTY,EMPTY,EMPTY,False,False,False,False,False,False,False,True,NO_RAW_SIGNAL,,[],,,,{},693.0,,,False,0.0,0.0,0,0.17,0,0,0.0,50000.0,5000.0,5,0,0,2,False,False,False,1,0,False,FULLY_SUPPORTED
2023-04-03,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,002532.sz,天山铝业,cyclical_rotation,有色金属,True,risk_on,False,,BLOCKED,BLOCKED,BLOCKED,False,False,False,False,False,False,False,True,NO_RAW_SIGNAL,,[],,,,{},652.0,,,False,0.0,0.0,0,0.17,0,0,0.0,50000.0,5000.0,5,0,0,2,False,False,False,1,0,False,FULLY_SUPPORTED
2023-04-03,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,600000.sh,浦发银行,defensive_dividend,银行,True,risk_on,False,,BLOCKED,BLOCKED,BLOCKED,False,False,False,False,False,False,False,True,NO_RAW_SIGNAL,,[],,,,{},614.0,,,False,0.0,0.0,0,0.17,0,0,0.0,50000.0,5000.0,5,0,0,2,False,False,False,1,0,False,FULLY_SUPPORTED
