date,variant,symbol,name,bucket,industry,market_regime,shares,previous_shares,close,previous_close,market_value,previous_market_value,position_weight,average_cost,cost_basis,unrealized_pnl,unrealized_pnl_pct,realized_pnl_today,unrealized_pnl_today,total_pnl_today,fees_allocated_today,tax_allocated_today,slippage_allocated_today,entry_date,holding_days,last_buy_date,last_sell_date,entry_signal,latest_signal,exit_signal_today,replacement_sell_candidate,replacement_buy_competitor,relative_strength,ma20,ma60,ma120,ma250,ma20_slope_10d,ma120_slope_20d,stock_q_blended,industry_q_blended,expected_edge_score,score_components_json,thesis_still_valid,fundamental_break,cycle_peak_trap,costing_method,allocation_method,trace_quality_flag
2023-04-03,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,600036.sh,招商银行,defensive_dividend,银行,risk_on,300.0,0.0,27.56,27.65,8268.0,0.0,0.16548126349397854,27.67383,8302.149,-34.14900000000003,-0.004113272358759135,0.0,-34.14900000000003,-34.14900000000003,2.4906447,0.0,0.0,2023-04-04,0,2023-04-04,,满足 defensive BUY_1。,BUY_1,,False,False,,28.0265,30.698666666666668,28.313750000000002,29.4422,-0.058265150115085484,0.0028098095409563317,19.828504828504826,13.453768951526799,79.8999,"{""dividend_or_shareholder_return"": 91.742, ""industry_concentration_penalty"": 0.0, ""lot_fit_penalty"": 0.0, ""quality_score"": 100.0, ""relative_strength"": 50.0, ""trend_confirmation"": 50.0, ""valuation_depth"": 80.1715, ""weak_holding_penalty"": 0.0}",True,False,False,FIFO_APPROX_AVG_COST,TRADE_SYMBOL_DIRECT,PARTIALLY_SUPPORTED_AVG_COST_FIFO_APPROX
2023-04-04,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,600036.sh,招商银行,defensive_dividend,银行,risk_on,300.0,300.0,27.08,27.56,8123.999999999999,8268.0,0.1630691350122028,27.67383,8302.149,-178.14900000000017,-0.021458179081103035,0.0,-144.00000000000014,-144.00000000000014,0.0,0.0,0.0,2023-04-04,1,2023-04-04,,满足 defensive BUY_1。,HOLD,,False,False,,27.9125,30.643666666666665,28.334416666666666,29.40232,-0.05501481168006772,0.002878741848234778,19.64574566721347,16.8561942705369,,{},True,False,False,FIFO_APPROX_AVG_COST,TRADE_SYMBOL_DIRECT,FULLY_SUPPORTED_MARK_TO_MARKET
2023-04-06,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,600036.sh,招商银行,defensive_dividend,银行,neutral,300.0,300.0,27.42,27.08,8226.0,8123.999999999999,0.16467701826445583,27.67383,8302.149,-76.14899999999913,-0.009172203486109365,0.0,102.00000000000104,102.00000000000104,0.0,0.0,0.0,2023-04-04,2,2023-04-04,,满足 defensive BUY_1。,HOLD,,False,False,,27.8025,30.562833333333334,28.35441666666667,29.36288,-0.05293546574012575,0.0030629632031697884,18.317365269461078,16.45395719263315,,{},True,False,False,FIFO_APPROX_AVG_COST,TRADE_SYMBOL_DIRECT,FULLY_SUPPORTED_MARK_TO_MARKET
2023-04-06,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,601318.sh,中国平安,defensive_dividend,非银金融,neutral,100.0,0.0,38.27,37.72,3827.0000000000005,0.0,0.07661304995113938,37.948965,3794.8965000000003,32.103500000000196,0.008459651007609814,0.0,32.103500000000196,32.103500000000196,1.13846895,0.0,0.0,2023-04-07,2,2023-04-07,,满足 defensive BUY_1。,BUY_1,,False,False,,38.5325,41.14683333333334,38.19283333333333,36.73008,-0.03697640707787664,0.01616772574286851,15.970798075327693,15.477185996349759,82.7088,"{""dividend_or_shareholder_return"": 100.0, ""industry_concentration_penalty"": 0.0, ""lot_fit_penalty"": 0.0, ""quality_score"": 100.0, ""relative_strength"": 50.0, ""trend_confirmation"": 50.0, ""valuation_depth"": 84.0292, ""weak_holding_penalty"": 0.0}",True,False,False,FIFO_APPROX_AVG_COST,TRADE_SYMBOL_DIRECT,PARTIALLY_SUPPORTED_AVG_COST_FIFO_APPROX
2023-04-07,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,600036.sh,招商银行,defensive_dividend,银行,risk_on,300.0,300.0,27.52,27.42,8256.0,8226.0,0.16503640778422096,27.67383,8302.149,-46.14899999999977,-0.005558681252287756,0.0,29.99999999999936,29.99999999999936,0.0,0.0,0.0,2023-04-04,3,2023-04-04,,满足 defensive BUY_1。,HOLD,,False,False,,27.730499999999996,30.490166666666664,28.381000000000004,29.32532,-0.05042290175666886,0.0034235879909254585,19.240589003681276,16.89410092395167,,{},True,False,False,FIFO_APPROX_AVG_COST,TRADE_SYMBOL_DIRECT,FULLY_SUPPORTED_MARK_TO_MARKET
2023-04-07,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,601318.sh,中国平安,defensive_dividend,非银金融,risk_on,100.0,100.0,38.7,38.27,3870.0000000000005,3827.0000000000005,0.0773608161488536,37.948965,3794.8965000000003,75.10350000000017,0.0197906583223022,0.0,42.99999999999997,42.99999999999997,0.0,0.0,0.0,2023-04-07,3,2023-04-07,,满足 defensive BUY_1。,HOLD,,False,False,,38.482,41.091833333333334,38.23125,36.73076,-0.03570802114917193,0.01636958168839997,17.356787491115853,17.17128642501777,,{},True,False,False,FIFO_APPROX_AVG_COST,TRADE_SYMBOL_DIRECT,FULLY_SUPPORTED_MARK_TO_MARKET
2023-04-10,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,600036.sh,招商银行,defensive_dividend,银行,risk_on,300.0,300.0,27.01,27.52,8103.000000000001,8256.0,0.16260529560235137,27.67383,8302.149,-199.14899999999918,-0.023987644644777983,0.0,-152.9999999999994,-152.9999999999994,0.0,0.0,0.0,2023-04-04,4,2023-04-04,,满足 defensive BUY_1。,HOLD,,False,False,,27.690999999999995,30.421166666666668,28.417250000000003,29.28832,-0.04683062836686602,0.004217036000883523,19.670607225941225,17.218962373611802,,{},True,False,False,FIFO_APPROX_AVG_COST,TRADE_SYMBOL_DIRECT,FULLY_SUPPORTED_MARK_TO_MARKET
2023-04-10,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,601318.sh,中国平安,defensive_dividend,非银金融,risk_on,100.0,100.0,38.3,38.7,3829.9999999999995,3870.0000000000005,0.07685774184339203,37.948965,3794.8965000000003,35.1034999999996,0.00925018640165809,0.0,-40.00000000000057,-40.00000000000057,0.0,0.0,0.0,2023-04-07,4,2023-04-07,,满足 defensive BUY_1。,HOLD,,False,False,,38.485,41.030499999999996,38.27791666666667,36.73572,-0.03321023940512979,0.01686679240938993,18.67459922805522,17.06123463806209,,{},True,False,False,FIFO_APPROX_AVG_COST,TRADE_SYMBOL_DIRECT,FULLY_SUPPORTED_MARK_TO_MARKET
2023-04-11,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,600036.sh,招商银行,defensive_dividend,银行,neutral,300.0,300.0,27.02,27.01,8106.0,8103.000000000001,0.16267529084831878,27.67383,8302.149,-196.14899999999977,-0.02362629242139591,0.0,2.999999999999403,2.999999999999403,0.0,0.0,0.0,2023-04-04,5,2023-04-04,,满足 defensive BUY_1。,HOLD,,False,False,,27.625,30.336666666666666,28.43933333333333,29.244400000000002,-0.04424993080542494,0.004479764532744568,18.295465869456898,17.94868881946417,,{},True,False,False,FIFO_APPROX_AVG_COST,TRADE_SYMBOL_DIRECT,FULLY_SUPPORTED_MARK_TO_MARKET
2023-04-11,mp5_tr1_tu8_cr10_sw18_ind2_def3_cy0_lot100_gap8_rpm1_ro85_ne60_rf25_rep1_cyc1_disable_both_monthly_review,601318.sh,中国平安,defensive_dividend,非银金融,neutral,100.0,100.0,38.24,38.3,3824.0,3829.9999999999995,0.07674195808092413,37.948965,3794.8965000000003,29.103500000000082,0.007669115613561539,0.0,-5.999999999999517,-5.999999999999517,0.0,0.0,0.0,2023-04-07,5,2023-04-07,,满足 defensive BUY_1。,HOLD,,False,False,,38.443,40.943000000000005,38.31641666666667,36.73311999999999,-0.03206475897926564,0.01708798598453365,17.41380289690429,17.320647543311562,,{},True,False,False,FIFO_APPROX_AVG_COST,TRADE_SYMBOL_DIRECT,FULLY_SUPPORTED_MARK_TO_MARKET
